district,state,subdivision,section,area,catdesc,catcode,total_services,billed_services,units,load
Hyderabad central,Azamabad,BARKATPURA,Shankarmutt,OLD RAMALAYAM,domestic,1,3,3.0,972,20.0
Hyderabad central,Azamabad,BARKATPURA,Barkat pura,YMCA MAIN ROAD,domestic,1,2,2.0,291,19.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,BADRUKA COLLEGE,domestic,1,1,1.0,148,5.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,BONE FACTORY,domestic,1,1,1.0,359,5.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,CHAPPAL BAZAR,domestic,1,1,1.0,248,3.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,CHAPPEL BAZAR,domestic,1,3,3.0,939,15.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,CT METER,non-domestic and commercial,2,1,1.0,1829,56.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,CT METER,industrial,3,1,1.0,429,35.63
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,GRC HV KACHIGUDA,domestic,1,1,1.0,171,12.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,GRC HV KACHIGUDA,non-domestic and commercial,2,1,1.0,253,5.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,K.GUDA POLICE STATION,domestic,1,2,2.0,609,8.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,K.GUDA X ROAD-K.GUDA P.S.,domestic,1,3,3.0,668,9.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,KRISHNA NAGAR,domestic,1,1,1.0,325,5.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,LAL BUNGLOW,domestic,1,1,1.0,87,5.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,NEHRU NAGAR,domestic,1,3,3.0,716,9.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,NIMBOLIADDA-MOTI MARKET,domestic,1,1,1.0,172,3.0
Hyderabad central,Azamabad,BARKATPURA,Kachiguda,QUTHBIGUDA,domestic,1,3,3.0,1502,16.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,A c guards,ARUNA APARTMENTS AREA,domestic,1,1,1.0,484,10.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,A c guards,BAZARGHAT CHURCH,domestic,1,1,1.0,435,5.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,A c guards,BAZARGHAT POLICE STATION,domestic,1,1,1.0,224,6.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,A c guards,CT METER A C GUARDS,domestic,1,1,1.0,210,30.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,A c guards,CT METER A C GUARDS,non-domestic and commercial,2,3,3.0,2786,126.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,A c guards,GRC HV A.C.GUARDS,domestic,1,42,42.0,15294,262.63
Hyderabad central,Mehdipatnam,A.C.GUARDS,A c guards,GRC HV A.C.GUARDS,non-domestic and commercial,2,15,15.0,5165,124.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,A c guards,GRC HV A.C.GUARDS,general purpose,7,1,1.0,1,5.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,A c guards,TNGOS BUILDING,domestic,1,1,1.0,225,5.5
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,GRC CT METERS ASIF NAGAR,domestic,1,1,1.0,649,18.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,GRC CT METERS ASIF NAGAR,non-domestic and commercial,2,2,2.0,747,60.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,GRC CT METERS ASIF NAGAR,general purpose,7,2,2.0,1785,81.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,GRC HV ASIFNAGAR,domestic,1,20,20.0,4767,115.98
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,GRC HV ASIFNAGAR,non-domestic and commercial,2,4,4.0,1518,27.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,GRC HV ASIFNAGAR,general purpose,7,2,2.0,427,11.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,MURAD NAGAR,domestic,1,1,1.0,280,5.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,NASEERIA MASJID,domestic,1,1,1.0,466,5.0
Hyderabad central,Mehdipatnam,A.C.GUARDS,Asifnagar,SHAHEED/ ALI NAGAR,domestic,1,2,2.0,526,10.0
