circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GRC HV SOMAJIGUDA,GENERAL PURPOSE,7,2,2,634,15
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLAND WEST,DOMESTIC,1,3,3,657,29
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLANDS CT METERS,DOMESTIC,1,6,6,8033,175
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,GREENLANDS CT METERS,NON-DOMESTIC AND COMMERCIAL,2,8,8,5063,370
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,KANTHISIKHARA APTS,DOMESTIC,1,1,1,227,3
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,KUNDANBAGH,DOMESTIC,1,6,6,1756,31.5
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,METHODIST COLONY,DOMESTIC,1,4,4,1045,17
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,METHODIST COLONY,NON-DOMESTIC AND COMMERCIAL,2,1,1,671,9
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,METHODIST COLONY(APTS),DOMESTIC,1,1,1,264,8
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,P.J.COLONY,DOMESTIC,1,8,8,2687,49.54
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA,DOMESTIC,1,1,1,243,5
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA (EXT.),DOMESTIC,1,3,3,1323,20
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA APTS,DOMESTIC,1,7,7,3025,64
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,SOMAJIGUDA APTS-I,DOMESTIC,1,2,2,933,13
BANJARA HILLS,GREEN LANDS,GREENLANDS,GREENLANDS,UMANAGAR,DOMESTIC,1,4,4,1892,27
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,AMEERPET(SEESHMAHAL APPTS.),DOMESTIC,1,1,1,791,9
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,B K GUDA,DOMESTIC,1,2,2,921,8
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,B K GUDA,NON-DOMESTIC AND COMMERCIAL,2,1,1,514,5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,B.K.GUDA DASARAM BASTI,DOMESTIC,1,1,1,263,3
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,BALKAMPET EAST,DOMESTIC,1,4,4,1303,28.15
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,C-TYPE QUARTERS,DOMESTIC,1,6,6,2220,28.27
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,CT METERS,DOMESTIC,1,7,7,5856,205
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,CT METERS,NON-DOMESTIC AND COMMERCIAL,2,6,6,4033,149
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,GRC HV S R NAGAR,DOMESTIC,1,3,3,720,18
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,GRC HV S R NAGAR,NON-DOMESTIC AND COMMERCIAL,2,3,3,388,15
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,HIGH VALUE AMEERPET ,DOMESTIC,1,16,16,5202,81
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,HIGH VALUE AMEERPET ,NON-DOMESTIC AND COMMERCIAL,2,1,1,1,2
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,HIGHVALUE SR NAGAR NORTH,DOMESTIC,1,32,32,6874,188
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,HIGHVALUE SR NAGAR NORTH,NON-DOMESTIC AND COMMERCIAL,2,2,2,1459,16
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,MODEL COLONY APARTMENTS,DOMESTIC,1,2,2,575,13
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,NEEMKAR COLONY,DOMESTIC,1,1,1,78,3.18
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S.R.NAGAR (NORTH),DOMESTIC,1,3,3,771,15
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S.R.NAGAR(NORTH) APTS.,DOMESTIC,1,1,1,202,5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,S.R.NAGAR(NORTH) APTS.,NON-DOMESTIC AND COMMERCIAL,2,1,1,352,5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SRIRAM NAGAR,DOMESTIC,1,1,1,493,5
BANJARA HILLS,GREEN LANDS,GREENLANDS,SANJEEV REDDY NAGAR,SUNDERNAGAR MODEL COLONY,DOMESTIC,1,2,2,750,10
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,BABBUGUDA,DOMESTIC,1,1,1,193,5
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,DOUBLE BEDROOM KAMALA NAGAR,GENERAL PURPOSE,7,2,2,139,11
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,DOMESTIC,1,20,20,6302,111.75
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,NON-DOMESTIC AND COMMERCIAL,2,2,2,692,18
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,GRC HV BORABANDA,GENERAL PURPOSE,7,2,2,381,8
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,JYOTHI NAGAR - II,DOMESTIC,1,1,1,65,3
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,MOTHI NAGAR (S),DOMESTIC,1,4,4,885,22
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,RADHA KRISHNA NAGAR,DOMESTIC,1,2,2,602,6
BANJARA HILLS,GREEN LANDS,SANATH NAGAR,BORABANDA,SNEHAPURI COLONY,DOMESTIC,1,2,2,332,4
